0-The_palestinian_museum-409,27
1-IT_street-539,50
2-A.Shaheen-495,58
3-IT-566,61
4-zaany-572,90
5-Begginning_of_aladab_street-438,103
6-In_front_of_the_women_studies-475,114
7-Pharmacy-345,132
8-Tarbia-562,140
9-Women_Studies-425,144
10-Beir-692,147
11-Arts-245,186
12-adhab-397,192
13-Hokhook-545,196
14-Administration-727,219
15-Basketball-131,248
16-Bank-520,258
17-Football-336,292
18-Students_union-523,311
19-eltejarah_street-997,312
20-Front_of_students_union-579,326
21-Molhakh_eltejarah-958,335
22-students_chilling_court-368,336
23-circle-648,365
24-Tejarah-916,375
25-Tennis-121,380
26-kamal_nasser-615,400
27-tasjeel-580,404
28-After_tejarah-875,410
29-Engineering_basketball-337,417
30-Library-780,427
31-Mafraq-433,475
32-Engineering-386,488
33-Molhakh_science-780,490
34-General_ministry-476,497
35-Technical-96,571
36-Science-607,580
37-Abuahmad-126,666
38-entrance-350,778
 

0,1    132
1,2    44
1,3    29
1,4    51
1,5    114
1,7    210
1,8    92
1,11    323
2,3    71
2,5    72
2,7    167
2,11    280
3,4    29
3,6    105
3,8    79
3,13    136
4,6    99
4,8    50
4,13    109
4,16    175
5,6    38
5,7    97
5,11    210
5,9    43
5,12    97
5,17    214
6,9    58
7,11    113
8,13    58
8,16    125
9,12    55
9,7    172
10,14    80
11,15    129
12,17    117
13,16    66
14,16    210
15,25    132
16,18    53
17,22    54
17,29    125
18,20    57
18,23    136
19,21    45
19,24    102
19,28    156
19,30    245
19,33    280
19,36    473
19,38    797
20,23    79
21,24    58
21,28    111
21,30    200
21,33    236
21,36    428
21,38    752
22,29    86
23,26    50
23,27    75
24,28    53
24,30    145
24,33    178
24,36    370
24,38    694
25,35    192
26,27    35
27,31    163
28,30    96
28,33    124
28,36    317
28,38    641
29,31    112
29,32    86
30,33    63
30,36    230
30,38    555
31,32    48
31,34    49
32,34    90
33,36    195
33,38    517
34,36    155
35,37    99
36,38    324
37,38    250
